"[run number],""%a"",""rep"",""time-c"",""time-d"",""dif"",""accor"",""time-sf"",""IPa"",""Impact"",""impact-s"",""impact-d"",""iIPa"",""IPb"",""number-a"",""iIPb"",""TSL"",""number-b"",""number"",""time-r"",""MT"",""time-s"",""mean."",""recovery"",""impact-r"",""TPB"",""per"",""SD"",""discount"",""inn-culture"",""[step]"",""[report-who-x] of turtles"",""[avg-ladvantage] of turtles"",""[report-who-y] of turtles"",""[avg-w] of turtles"",""[report-who-z] of turtles"",""[avg-pw] of turtles"",""[report-who-a] of turtles"",""[avg-awa] of turtles"",""[report-who-b] of turtles"",""[avg-aladvantage] of turtles"""
"3,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""0.5"",""1.3"",""2"",""[[0 102.73911073841927] [3 96.62525833639194] [1 93.89572351928896] [2 89.54976024731542]]"",""[95.7024632103539 95.7024632103539 95.7024632103539 95.7024632103539]"",""[[0 133.56132514513587] [3 125.61310117444476] [1 122.0655685859537] [2 116.41434910219355]]"",""[124.41358600193198 124.41358600193198 124.41358600193198 124.41358600193198]"",""[[0 102.73911073841927] [3 96.62525833639194] [1 93.89572351928896] [2 89.54976024731542]]"",""[95.7024632103539 95.7024632103539 95.7024632103539 95.7024632103539]"",""[[0 1.238923944401502] [3 3.836389644477841] [1 27.01699805400867] [2 0.10414032231822387]]"",""[8.049112991301559 8.049112991301559 8.049112991301559 8.049112991301559]"",""[[0 205.69181733769454] [3 193.46290423221927] [1 188.0024586374587] [2 179.30369367682295]]"",""[191.61521847104888 191.61521847104888 191.61521847104888 191.61521847104888]"""
"2,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""0.5"",""0.8"",""2"",""[[0 96.3933376629837] [2 103.03416554079915] [1 106.25440795165682] [3 104.33168249565871]]"",""[102.50339841277459 102.5033984127746 102.50339841277459 102.50339841277459]"",""[[0 77.11378400755537] [2 82.42953648623518] [1 85.00215385651994] [3 83.46489740977205]]"",""[82.00259294002063 82.00259294002063 82.00259294002063 82.00259294002063]"",""[[0 96.3933376629837] [2 103.03416554079915] [1 106.25440795165682] [3 104.33168249565871]]"",""[102.50339841277459 102.5033984127746 102.50339841277459 102.50339841277459]"",""[[0 1.3995581493873153] [2 1.0751185335466695] [1 7.578768966637369] [3 0.6283142871217271]]"",""[2.6704399841732704 2.6704399841732704 2.6704399841732704 2.6704399841732704]"",""[[0 193.0095144293265] [2 206.28145665045565] [1 212.71464352463545] [3 208.87948452422577]]"",""[205.22127478216083 205.22127478216083 205.22127478216083 205.22127478216083]"""
"2,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""0.5"",""0.8"",""3"",""[[0 96.17049855962462] [3 104.11556296275036] [1 106.04858033033501] [2 102.82103997194179]]"",""[102.28892045616294 102.28892045616294 102.28892045616294 102.28892045616294]"",""[[0 76.93613676955128] [3 83.29305442995492] [1 84.83852496293619] [2 82.25602837100521]]"",""[81.8309361333619 81.8309361333619 81.83093613336189 81.83093613336192]"",""[[0 96.17049855962462] [3 104.11556296275036] [1 106.04858033033501] [2 102.82103997194179]]"",""[102.28892045616294 102.28892045616294 102.28892045616294 102.28892045616294]"",""[[0 3.303273952872699] [3 1.4783703546222662] [1 16.824846987392675] [2 2.383311289607315]]"",""[5.99745064612374 5.997450646123739 5.99745064612374 5.997450646123738]"",""[[0 289.1800129889511] [3 312.99504748697615] [1 318.7632238549705] [2 309.10249662239744]]"",""[307.5101952383238 307.5101952383238 307.5101952383238 307.5101952383238]"""
"6,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""0.8"",""3"",""[[2 100.04627507682527] [0 96.7128627486466] [1 96.60777173294485] [3 96.2786235710541]]"",""[97.41138328236771 97.41138328236771 97.41138328236771 97.41138328236771]"",""[[2 80.03676596501566] [0 77.37101721096592] [1 77.28820066721] [3 77.02329069824955]]"",""[77.92981863536028 77.92981863536028 77.92981863536028 77.92981863536028]"",""[[2 100.04627507682527] [0 96.7128627486466] [1 96.60777173294485] [3 96.2786235710541]]"",""[97.41138328236771 97.41138328236771 97.41138328236771 97.41138328236771]"",""[[2 1.2122629973101002] [0 0.19072732467466963] [1 22.89453904554271] [3 0.3583162458670571]]"",""[6.163961403348635 6.163961403348634 6.163961403348635 6.163961403348635]"",""[[2 303.74700125866354] [0 293.76611991080716] [1 293.45891607623975] [3 292.4673902392565]]"",""[295.85985687124173 295.85985687124173 295.85985687124173 295.85985687124173]"""
"2,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""0.5"",""0.8"",""4"",""[[3 103.89944342984201] [0 95.94765945626554] [1 105.84275270901321] [2 102.60791440308442]]"",""[102.07444249955131 102.07444249955131 102.07444249955128 102.0744424995513]"",""[[3 83.12000703535287] [0 76.75935259692656] [1 84.67377063485637] [2 82.08588592739913]]"",""[81.65975404863373 81.65975404863373 81.65975404863373 81.65975404863373]"",""[[3 103.89944342984201] [0 95.94765945626554] [1 105.84275270901321] [2 102.60791440308442]]"",""[102.07444249955131 102.07444249955131 102.07444249955128 102.0744424995513]"",""[[3 2.629381055377353] [0 5.859218175512348] [1 27.942893800781782] [2 4.000489322489148]]"",""[10.107995588540158 10.107995588540158 10.107995588540158 10.107995588540158]"",""[[3 416.89449091681814] [0 385.1276724452166] [1 424.6059765639837] [2 411.71041102548185]]"",""[409.5846377378751 409.5846377378751 409.5846377378751 409.5846377378751]"""
"6,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""0.8"",""4"",""[[2 98.84354973409603] [3 95.06811706235604] [0 95.50368552702415] [1 95.39590477380979]]"",""[96.2028142743215 96.20281427432151 96.20281427432151 96.2028142743215]"",""[[2 79.07399168299621] [3 76.05446545790076] [0 76.40358906724276] [1 76.3176392307287]]"",""[76.96242135971711 76.96242135971711 76.96242135971711 76.9624213597171]"",""[[2 98.84354973409603] [3 95.06811706235604] [0 95.50368552702415] [1 95.39590477380979]]"",""[96.2028142743215 96.20281427432151 96.20281427432151 96.2028142743215]"",""[[2 2.197717385980618] [3 0.6622886468333579] [0 0.3409449282579796] [1 36.97981026913824]]"",""[10.04519030755255 10.04519030755255 10.04519030755255 10.045190307552549]"",""[[2 402.5905509927596] [3 387.5355073016125] [0 389.26980543783134] [1 388.8548208500495]]"",""[392.06267114556323 392.06267114556323 392.06267114556323 392.06267114556323]"""
"6,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""0.8"",""5"",""[[2 97.64082439136679] [0 94.29450830540169] [1 94.18403781467472] [3 93.85761055365798]]"",""[94.9942452662753 94.9942452662753 94.9942452662753 94.9942452662753]"",""[[2 78.11257983356239] [0 75.4339142107206] [1 75.34785833378805] [3 75.08547764324767]]"",""[75.99495750532968 75.99495750532968 75.99495750532968 75.99495750532968]"",""[[2 97.64082439136679] [0 94.29450830540169] [1 94.18403781467472] [3 93.85761055365798]]"",""[94.9942452662753 94.9942452662753 94.9942452662753 94.9942452662753]"",""[[2 3.5572022178476552] [0 0.5532889707624963] [1 52.991727295370964] [3 1.0988422743933781]]"",""[14.550265189593622 14.550265189593624 14.550265189593622 14.550265189593624]"",""[[2 500.23137538412635] [0 483.564313743233] [1 483.0388586647242] [3 481.3931178552705]]"",""[487.05691641183853 487.05691641183853 487.05691641183853 487.05691641183853]"""
"6,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""0.8"",""6"",""[[0 93.08533108377924] [2 96.43809904863755] [3 92.64710404495992] [1 92.97217085553966]]"",""[93.78567625822909 93.78567625822909 93.7856762582291 93.78567625822909]"",""[[0 74.4681733607053] [2 77.14994885350559] [3 74.11813121207429] [1 74.37740749527494]]"",""[75.02841523039002 75.02841523039002 75.02841523039002 75.02841523039002]"",""[[0 93.08533108377924] [2 96.43809904863755] [3 92.64710404495992] [1 92.97217085553966]]"",""[93.78567625822909 93.78567625822909 93.7856762582291 93.78567625822909]"",""[[0 0.8551168919594022] [2 5.4040492232881] [3 1.7202960678765875] [1 71.05258355761562]]"",""[19.758011435184926 19.758011435184926 19.758011435184926 19.758011435184926]"",""[[0 576.6496448270123] [2 596.6694744327639] [3 574.0402219002303] [1 576.0110295202638]]"",""[580.8425926700676 580.8425926700676 580.8425926700676 580.8425926700676]"""
"6,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""0.8"",""7"",""[[3 91.43659753626186] [2 95.23537370590832] [1 91.7603038964046] [0 91.87615386215678]]"",""[92.57710725018289 92.57710725018289 92.57710725018289 92.57710725018289]"",""[[3 73.14919405837907] [2 76.18848803078014] [1 73.40813658685366] [0 73.50034983053699]]"",""[74.06154212663748 74.06154212663748 74.06154212663746 74.06154212663746]"",""[[3 91.43659753626186] [2 95.23537370590832] [1 91.7603038964046] [0 91.87615386215678]]"",""[92.57710725018289 92.57710725018289 92.57710725018289 92.57710725018289]"",""[[3 2.5929548413082055] [2 7.8813716587231895] [1 91.26512652041086] [0 1.284932618749167]]"",""[25.756096409797856 25.756096409797856 25.756096409797856 25.756096409797856]"",""[[3 665.4768194364922] [2 691.9048481386722] [1 667.7713334166684] [0 668.525798689169]]"",""[673.4196999202504 673.4196999202504 673.4196999202504 673.4196999202504]"""
"6,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""0.8"",""8"",""[[1 90.54843693726953] [0 90.66697664053433] [2 94.03264836317908] [3 90.2260910275638]]"",""[91.36853824213668 91.36853824213668 91.36853824213668 91.36853824213668]"",""[[1 72.43916356529499] [0 72.53266468083721] [2 75.22724638867334] [3 72.1796033556463]]"",""[73.09466949761295 73.09466949761295 73.09466949761295 73.09466949761295]"",""[[1 90.54843693726953] [0 90.66697664053433] [2 94.03264836317908] [3 90.2260910275638]]"",""[91.36853824213668 91.36853824213668 91.36853824213668 91.36853824213668]"",""[[1 113.70811556082018] [0 1.8900524826638008] [2 11.155605605852582] [3 3.8057241462044527]]"",""[32.63987444888525 32.63987444888525 32.63987444888525 32.63987444888525]"",""[[1 758.319770353938] [0 759.1927753297034] [2 785.9374965018512] [3 755.702910464056]]"",""[764.7882381623872 764.7882381623872 764.7882381623872 764.7882381623872]"""
