"[run number],""%a"",""rep"",""time-c"",""time-d"",""dif"",""accor"",""time-sf"",""IPa"",""Impact"",""impact-s"",""impact-d"",""iIPa"",""IPb"",""number-a"",""iIPb"",""TSL"",""number-b"",""number"",""time-r"",""MT"",""time-s"",""mean."",""recovery"",""impact-r"",""TPB"",""per"",""SD"",""discount"",""inn-culture"",""[step]"",""[report-who-x] of turtles"",""[avg-ladvantage] of turtles"",""[report-who-y] of turtles"",""[avg-w] of turtles"",""[report-who-z] of turtles"",""[avg-pw] of turtles"",""[report-who-a] of turtles"",""[avg-awa] of turtles"",""[report-who-b] of turtles"",""[avg-aladvantage] of turtles"""
"11,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""1.3"",""68"",""[[2 79.94008307970871] [1 87.07812772556247] [3 81.35881282007183] [0 81.02204742397548]]"",""[82.34976776232962 82.34976776232962 82.34976776232962 82.34976776232962]"",""[[2 103.92369181301736] [1 113.20485687970285] [3 105.76807760388282] [0 105.32824030217267]]"",""[107.05621664969392 107.05621664969392 107.05621664969392 107.05621664969392]"",""[[2 79.94008307970871] [1 87.07812772556247] [3 81.35881282007183] [0 81.02204742397548]]"",""[82.34976776232962 82.34976776232962 82.34976776232962 82.34976776232962]"",""[[2 1893.7713201499546] [1 1806.0646022435512] [3 2263.545063002271] [0 1839.7250401261326]]"",""[1950.7765063804775 1950.7765063804773 1950.7765063804773 1950.7765063804773]"",""[[2 5907.085999031463] [1 6418.044804256961] [3 5996.064987704171] [0 5986.1839357099525]]"",""[6076.844931675636 6076.844931675636 6076.844931675638 6076.844931675636]"""
"9,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""0.8"",""63"",""[[2 87.66020032493626] [0 85.16424443669678] [3 90.97702871053615] [1 92.729315213085]]"",""[89.13269717131354 89.13269717131355 89.13269717131354 89.13269717131354]"",""[[2 70.12921590775478] [0 68.13186787215507] [3 72.7815673098975] [1 74.18152694314023]]"",""[71.3060445082369 71.3060445082369 71.3060445082369 71.3060445082369]"",""[[2 87.66020032493626] [0 85.16424443669678] [3 90.97702871053615] [1 92.729315213085]]"",""[89.13269717131354 89.13269717131355 89.13269717131354 89.13269717131354]"",""[[2 2367.4949075460318] [0 2384.740909143313] [3 2124.684539608801] [1 2451.3787295466354]]"",""[2332.0747714611953 2332.0747714611953 2332.0747714611953 2332.0747714611953]"",""[[2 5945.256685251287] [0 5762.6107954202735] [3 6148.158397698222] [1 6263.048976801378]]"",""[6029.76871379279 6029.76871379279 6029.76871379279 6029.76871379279]"""
"8,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""1.3"",""74"",""[[2 9.379634604205435] [3 5.1908907213830915] [0 11.396097979906628] [1 16.846386457646176]]"",""[10.703252440785333 10.703252440785333 10.703252440785333 10.703252440785333]"",""[[2 12.19394209454952] [3 6.7471606299622975] [0 14.815099657401037] [1 21.89973282335006]]"",""[13.913983801315728 13.913983801315728 13.913983801315727 13.913983801315727]"",""[[2 9.379634604205435] [3 5.1908907213830915] [0 11.396097979906628] [1 16.846386457646176]]"",""[10.703252440785333 10.703252440785333 10.703252440785333 10.703252440785333]"",""[[2 1706.2281532749034] [3 1787.6990813091775] [0 1945.5277861486968] [1 1695.3691294266764]]"",""[1783.7060375398637 1783.7060375398635 1783.7060375398635 1783.7060375398637]"",""[[2 3945.975916418605] [3 3681.4522941191008] [0 4121.715457784857] [1 4513.947706075777]]"",""[4065.772843599585 4065.772843599585 4065.772843599585 4065.7728435995846]"""
"11,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""1.3"",""69"",""[[0 80.8127916246429] [1 86.86007148371931] [3 81.15527211948391] [2 79.73325237311904]]"",""[82.1403469002413 82.1403469002413 82.1403469002413 82.1403469002413]"",""[[0 105.05525758710692] [1 112.91632606996185] [3 105.50107980820297] [2 103.6524749542258]]"",""[106.78128460487439 106.7812846048744 106.78128460487439 106.7812846048744]"",""[[0 80.8127916246429] [1 86.86007148371931] [3 81.15527211948391] [2 79.73325237311904]]"",""[82.1403469002413 82.1403469002413 82.1403469002413 82.1403469002413]"",""[[0 1875.2625560060092] [1 1841.354874024088] [3 2298.8354578776557] [2 1929.0617153981873]]"",""[1986.1286508264852 1986.1286508264848 1986.1286508264852 1986.1286508264852]"",""[[0 6066.996727334596] [1 6504.90487574068] [3 6077.2202598236545] [2 5986.819251404582]]"",""[6158.985278575878 6158.985278575878 6158.985278575878 6158.985278575878]"""
"9,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""0.8"",""64"",""[[2 87.44378247302622] [1 92.51369712891858] [3 90.76371299679603] [0 84.96083255963156]]"",""[88.92050628959309 88.92050628959309 88.92050628959309 88.92050628959309]"",""[[2 69.95603448583134] [1 74.0105328104611] [3 72.61102139516518] [0 67.9689054610568]]"",""[71.1366235381286 71.1366235381286 71.13662353812862 71.13662353812862]"",""[[2 87.44378247302622] [1 92.51369712891858] [3 90.76371299679603] [0 84.96083255963156]]"",""[88.92050628959309 88.92050628959309 88.92050628959309 88.92050628959309]"",""[[2 2410.7479625410238] [1 2496.396332160904] [3 2167.5370325736835] [0 2427.592764754133]]"",""[2375.568523007436 2375.5685230074364 2375.568523007436 2375.568523007436]"",""[[2 6032.700467724314] [1 6355.562673930296] [3 6238.922110695018] [0 5847.571627979905]]"",""[6118.689220082384 6118.689220082383 6118.689220082383 6118.689220082383]"""
"11,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""1.3"",""70"",""[[0 80.60353582531032] [1 86.64201524187615] [3 80.95173141889599] [2 79.52642166652937]]"",""[81.93092603815295 81.93092603815296 81.93092603815296 81.93092603815295]"",""[[0 104.78599562413413] [1 112.6332798593343] [3 105.23728177800541] [2 103.38303725460126]]"",""[106.50989862901878 106.50989862901878 106.50989862901878 106.50989862901876]"",""[[0 80.60353582531032] [1 86.64201524187615] [3 80.95173141889599] [2 79.52642166652937]]"",""[81.93092603815295 81.93092603815296 81.93092603815296 81.93092603815295]"",""[[0 1910.799549741019] [1 1876.6455084450681] [3 2334.125567166182] [2 1964.3510607738144]]"",""[2021.480421531521 2021.480421531521 2021.480421531521 2021.480421531521]"",""[[0 6147.600263159906] [1 6591.546890982556] [3 6158.171991242551] [2 6066.345673071111]]"",""[6240.91620461403 6240.916204614032 6240.916204614032 6240.916204614031]"""
"8,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""1.3"",""75"",""[[1 15.636717776339268] [3 3.9701108692036193] [0 10.182323745448365] [2 8.175679418826908]]"",""[9.49120795245454 9.491207952454541 9.49120795245454 9.49120795245454]"",""[[1 20.330100484551153] [3 5.160681349978328] [0 13.23907073494891] [2 10.628256152691229]]"",""[12.339527180542404 12.339527180542404 12.339527180542404 12.339527180542404]"",""[[1 15.636717776339268] [3 3.9701108692036193] [0 10.182323745448365] [2 8.175679418826908]]"",""[9.49120795245454 9.491207952454541 9.49120795245454 9.49120795245454]"",""[[1 1706.0343413045068] [3 1790.9749725744803] [0 1952.4760393524018] [2 1712.6810506855516]]"",""[1790.5416009792352 1790.5416009792352 1790.541600979235 1790.5416009792352]"",""[[1 4529.584423852117] [3 3685.4224049883046] [0 4131.897781530305] [2 3954.1515958374316]]"",""[4075.2640515520397 4075.2640515520397 4075.2640515520397 4075.2640515520393]"""
"9,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""0.8"",""65"",""[[2 87.22736462111618] [1 92.29807904475216] [3 90.55039728305591] [0 84.75742068256633]]"",""[88.70831540787265 88.70831540787265 88.70831540787266 88.70831540787266]"",""[[2 69.78125770669371] [1 73.83883695286787] [3 72.44006607454361] [0 67.80648378013262]]"",""[70.96666112855945 70.96666112855945 70.96666112855945 70.96666112855945]"",""[[2 87.22736462111618] [1 92.29807904475216] [3 90.55039728305591] [0 84.75742068256633]]"",""[88.70831540787265 88.70831540787265 88.70831540787266 88.70831540787266]"",""[[2 2454.0027045673646] [1 2541.410376039806] [3 2210.3896937497866] [0 2470.445295928738]]"",""[2419.062017571424 2419.062017571424 2419.062017571424 2419.062017571424]"",""[[2 6119.92783234543] [1 6447.860752975048] [3 6329.472507978074] [0 5932.329048662472]]"",""[6207.397535490256 6207.397535490256 6207.397535490256 6207.397535490256]"""
"11,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""1.3"",""71"",""[[0 80.39428002597774] [1 86.423959000033] [2 79.3195909599397] [3 80.74819071830807]]"",""[81.72150517606462 81.72150517606462 81.72150517606462 81.72150517606462]"",""[[0 104.51294360505405] [1 112.3504059981648] [2 103.11634045401168] [3 104.97119771536879]]"",""[106.23772194314984 106.23772194314982 106.23772194314984 106.23772194314984]"",""[[0 80.39428002597774] [1 86.423959000033] [2 79.3195909599397] [3 80.74819071830807]]"",""[81.72150517606462 81.72150517606462 81.72150517606462 81.72150517606462]"",""[[0 1946.338032405074] [1 1911.9358362677197] [2 1999.6413343456538] [3 2369.4153490391036]]"",""[2056.8326380143876 2056.8326380143876 2056.8326380143876 2056.832638014388]"",""[[0 6227.994543185883] [1 6677.970849982589] [2 6145.665264031051] [3 6238.920181960859]]"",""[6322.637709790096 6322.637709790095 6322.637709790095 6322.637709790095]"""
"8,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""1.3"",""76"",""[[1 14.427049095032359] [2 6.971724233448381] [0 8.968549510990101] [3 2.749331017024147]]"",""[8.279163464123748 8.279163464123748 8.279163464123748 8.279163464123748]"",""[[1 18.75627526394379] [2 9.062700238837817] [0 11.658418506823635] [3 3.5742484207488707]]"",""[10.762910607588529 10.762910607588527 10.762910607588529 10.762910607588529]"",""[[1 14.427049095032359] [2 6.971724233448381] [0 8.968549510990101] [3 2.749331017024147]]"",""[8.279163464123748 8.279163464123748 8.279163464123748 8.279163464123748]"",""[[1 1718.955605780738] [2 1717.7373980785344] [0 1961.1465976174288] [3 1793.4515564502328]]"",""[1797.8227894817335 1797.8227894817335 1797.8227894817335 1797.8227894817335]"",""[[1 4544.011472947149] [2 3961.12332007088] [0 4140.866331041295] [3 3688.171736005329]]"",""[4083.5432150161632 4083.543215016163 4083.5432150161632 4083.5432150161632]"""
"9,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""0.8"",""66"",""[[3 90.3370815693158] [1 92.08246096058573] [2 87.01094676920614] [0 84.55400880550111]]"",""[88.4961245261522 88.49612452615219 88.49612452615219 88.4961245261522]"",""[[3 72.26960233252099] [1 73.6643495432113] [2 69.60785035232645] [0 67.64234426406459]]"",""[70.79603662303084 70.79603662303083 70.79603662303083 70.79603662303084]"",""[[3 90.3370815693158] [1 92.08246096058573] [2 87.01094676920614] [0 84.55400880550111]]"",""[88.4961245261522 88.49612452615219 88.49612452615219 88.4961245261522]"",""[[3 2253.242551843626] [1 2586.426019208389] [2 2497.2555364949458] [0 2513.2975988264743]]"",""[2462.555426593359 2462.555426593359 2462.555426593359 2462.555426593359]"",""[[3 6419.80958954739] [1 6539.943213935634] [2 6206.938779114636] [0 6016.883057467973]]"",""[6295.893660016408 6295.893660016409 6295.893660016409 6295.893660016408]"""
"8,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""1.3"",""77"",""[[2 5.767769048069853] [3 1.528551164844675] [0 7.754775276531839] [1 13.21738041372545]]"",""[7.067118975792955 7.067118975792955 7.067118975792955 7.067118975792954]"",""[[2 7.49810179773774] [3 1.9864093306106205] [0 10.080819388236906] [1 17.18239851329509]]"",""[9.186932257470088 9.18693225747009 9.186932257470088 9.186932257470088]"",""[[2 5.767769048069853] [3 1.528551164844675] [0 7.754775276531839] [1 13.21738041372545]]"",""[7.067118975792955 7.067118975792955 7.067118975792955 7.067118975792954]"",""[[2 1721.6439450077173] [3 1795.2981407165582] [0 1968.0966029791493] [1 1729.6197563031758]]"",""[1803.66461125165 1803.66461125165 1803.66461125165 1803.66461125165]"",""[[2 3966.89108911895] [3 3689.700287170174] [0 4148.621106317827] [1 4557.228853360874]]"",""[4090.610333991956 4090.6103339919564 4090.6103339919564 4090.6103339919564]"""
"11,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""1.3"",""72"",""[[2 79.11276025335003] [1 86.20590275818984] [3 80.54465001772014] [0 80.18502422664515]]"",""[81.51208431397629 81.51208431397629 81.51208431397629 81.51208431397629]"",""[[2 102.84473894620568] [1 112.06806372034578] [3 104.70927066372778] [0 104.24126564697775]]"",""[105.96583474431424 105.96583474431425 105.96583474431425 105.96583474431424]"",""[[2 79.11276025335003] [1 86.20590275818984] [3 80.54465001772014] [0 80.18502422664515]]"",""[81.51208431397629 81.51208431397629 81.51208431397629 81.51208431397629]"",""[[2 2034.9315833776393] [1 1947.225346545909] [3 2404.7049800323994] [0 1981.8768815965311]]"",""[2092.18469788812 2092.1846978881194 2092.1846978881194 2092.18469788812]"",""[[2 6224.778024284401] [1 6764.176752740779] [3 6319.464831978579] [0 6308.179567412529]]"",""[6404.1497941040725 6404.149794104072 6404.149794104072 6404.1497941040725]"""
"9,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""0.8"",""67"",""[[1 91.86684287641931] [2 86.7945289172961] [0 84.35059692843589] [3 90.12376585557568]]"",""[88.28393364443176 88.28393364443176 88.28393364443176 88.28393364443176]"",""[[1 73.49260081613787] [2 69.4361037245456] [0 67.48065923049383] [3 72.0978712697909]]"",""[70.62680876024206 70.62680876024204 70.62680876024204 70.62680876024204]"",""[[1 91.86684287641931] [2 86.7945289172961] [0 84.35059692843589] [3 90.12376585557568]]"",""[88.28393364443176 88.28393364443176 88.28393364443176 88.28393364443176]"",""[[1 2631.4405892988098] [2 2540.5097492514014] [0 2556.1509926123476] [3 2296.093159212257]]"",""[2506.048622593704 2506.048622593704 2506.048622593704 2506.048622593704]"",""[[1 6631.8100568120535] [2 6293.733308031932] [0 6101.233654396409] [3 6509.933355402965]]"",""[6384.17759366084 6384.17759366084 6384.17759366084 6384.17759366084]"""
"11,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""1.3"",""73"",""[[1 85.98784651634668] [0 79.97576842731257] [2 78.90592954676036] [3 80.34110931713222]]"",""[81.30266345188797 81.30266345188797 81.30266345188797 81.30266345188797]"",""[[1 111.78420329388261] [0 103.968500012195] [2 102.5782132544809] [3 104.44300203777505]]"",""[105.6934796495834 105.69347964958338 105.6934796495834 105.6934796495834]"",""[[1 85.98784651634668] [0 79.97576842731257] [2 78.90592954676036] [3 80.34110931713222]]"",""[81.30266345188797 81.30266345188797 81.30266345188797 81.30266345188797]"",""[[1 1982.5153175371333] [0 2017.4156154278344] [2 2070.221419025405] [3 2439.9954046025846]]"",""[2127.536939148239 2127.536939148239 2127.536939148239 2127.5369391482395]"",""[[1 6850.164599257126] [0 6388.155335839841] [2 6303.6839538311615] [3 6399.805941295712]]"",""[6485.45245755596 6485.45245755596 6485.45245755596 6485.45245755596]"""
"8,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""1.3"",""78"",""[[0 6.541001042073576] [1 12.007711732418542] [2 4.563813862691326] [3 0.30777131266520286]]"",""[5.855074487462161 5.855074487462161 5.855074487462161 5.855074487462161]"",""[[0 8.502530779389446] [1 15.609847270637575] [2 5.932654521275078] [3 0.3983389072663346]]"",""[7.6108428696421075 7.6108428696421075 7.6108428696421075 7.6108428696421075]"",""[[0 6.541001042073576] [1 12.007711732418542] [2 4.563813862691326] [3 0.30777131266520286]]"",""[5.855074487462161 5.855074487462161 5.855074487462161 5.855074487462161]"",""[[0 1973.5838061376794] [1 1738.2929470854006] [2 1726.7016562488168] [3 1796.6566180053214]]"",""[1808.8087568693045 1808.8087568693045 1808.8087568693045 1808.8087568693045]"",""[[0 4155.162107359901] [1 4569.2365650932925] [2 3971.454902981641] [3 3690.0080584828393]]"",""[4096.465408479418 4096.465408479418 4096.465408479418 4096.465408479418]"""
"11,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""1.3"",""74"",""[[0 79.76651262797999] [1 85.76979027450352] [3 80.1375686165443] [2 78.69909884017069]]"",""[81.09324258979963 81.09324258979963 81.09324258979963 81.09324258979963]"",""[[0 103.69580248386761] [1 111.49908242568853] [3 104.17873411928448] [2 102.30890014276189]]"",""[105.42062979290063 105.42062979290063 105.42062979290063 105.42062979290063]"",""[[0 79.76651262797999] [1 85.76979027450352] [3 80.1375686165443] [2 78.69909884017069]]"",""[81.09324258979963 81.09324258979963 81.09324258979963 81.09324258979963]"",""[[0 2052.9537517031677] [1 2017.805489194532] [3 2475.2866774298795] [2 2105.5125664264724]]"",""[2162.889621188513 2162.889621188513 2162.889621188513 2162.889621188513]"",""[[0 6467.921848467821] [1 6935.934389531629] [3 6479.943509912257] [2 6382.383052671332]]"",""[6566.54570014576 6566.54570014576 6566.54570014576 6566.54570014576]"""
"9,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""0.8"",""68"",""[[0 84.14718505137067] [2 86.57811106538607] [1 91.65122479225289] [3 89.91045014183557]]"",""[88.0717427627113 88.0717427627113 88.0717427627113 88.0717427627113]"",""[[0 67.31762207784949] [2 69.26279080895083] [1 73.32283750113368] [3 71.92687576230395]]"",""[70.45753153755948 70.45753153755949 70.45753153755948 70.45753153755949]"",""[[0 84.14718505137067] [2 86.57811106538607] [1 91.65122479225289] [3 89.91045014183557]]"",""[88.0717427627113 88.0717427627113 88.0717427627113 88.0717427627113]"",""[[0 2599.0056066567936] [2 2583.7637361276043] [1 2676.456819713062] [3 2338.94767975328]]"",""[2549.543460562685 2549.543460562685 2549.543460562685 2549.543460562685]"",""[[0 6185.38083944778] [2 6380.311419097318] [1 6723.461281604306] [3 6599.843805544801]]"",""[6472.2493364235515 6472.2493364235515 6472.2493364235515 6472.249336423551]"""
"9,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""0.8"",""69"",""[[1 91.43560670808647] [3 89.69713442809545] [0 83.94377317430545] [2 86.36169321347603]]"",""[87.85955188099086 87.85955188099085 87.85955188099085 87.85955188099084]"",""[[1 73.14942789775593] [3 71.75764258667981] [0 67.15602680842545] [2 69.09090521884205]]"",""[70.28850062792581 70.28850062792581 70.28850062792581 70.28850062792581]"",""[[1 91.43560670808647] [3 89.69713442809545] [0 83.94377317430545] [2 86.36169321347603]]"",""[87.85955188099086 87.85955188099085 87.85955188099085 87.85955188099084]"",""[[1 2721.4724514709424] [3 2381.801253846511] [0 2641.8582542620466] [2 2627.018750645147]]"",""[2593.0376775561617 2593.0376775561617 2593.0376775561617 2593.0376775561617]"",""[[1 6814.896888312393] [3 6689.540939972897] [0 6269.324612622086] [2 6466.673112310795]]"",""[6560.108888304543 6560.108888304543 6560.108888304542 6560.108888304541]"""
"11,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""1.3"",""75"",""[[2 78.49226813358102] [3 79.93402791595638] [1 85.55173403266036] [0 79.55725682864741]]"",""[80.8838217277113 80.8838217277113 80.8838217277113 80.8838217277113]"",""[[2 102.04091189849063] [3 103.91686797439463] [1 111.21826880219294] [0 103.42219142756262]]"",""[105.14956002566021 105.1495600256602 105.14956002566021 105.14956002566021]"",""[[2 78.49226813358102] [3 79.93402791595638] [1 85.55173403266036] [0 79.55725682864741]]"",""[80.8838217277113 80.8838217277113 80.8838217277113 80.8838217277113]"",""[[2 2140.8023769697456] [3 2510.5773684077567] [1 2053.094931782675] [0 2088.4914384269514]]"",""[2198.2415288967823 2198.2415288967823 2198.2415288967823 2198.2415288967823]"",""[[2 6460.875320804913] [3 6559.877537828213] [1 7021.486123564289] [0 6547.479105296468]]"",""[6647.429521873471 6647.429521873471 6647.429521873471 6647.429521873471]"""
"9,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""0.8"",""70"",""[[2 86.145275361566] [3 89.48381871435534] [1 91.21998862392005] [0 83.74036129724023]]"",""[87.6473609992704 87.6473609992704 87.6473609992704 87.6473609992704]"",""[[2 68.9157555471067] [3 71.5870068536998] [1 72.97601638807757] [0 66.99173669635104]]"",""[70.11762887130877 70.11762887130878 70.11762887130877 70.11762887130878]"",""[[2 86.145275361566] [3 89.48381871435534] [1 91.21998862392005] [0 83.74036129724023]]"",""[87.6473609992704 87.6473609992704 87.6473609992704 87.6473609992704]"",""[[2 2670.2730044348045] [3 2424.6532733249946] [1 2766.4874467064783] [0 2684.7100973635647]]"",""[2636.5309554574605 2636.5309554574605 2636.5309554574605 2636.5309554574605]"",""[[2 6552.818387672361] [3 6779.024758687252] [1 6906.116876936313] [0 6353.064973919326]]"",""[6647.756249303813 6647.756249303813 6647.756249303813 6647.756249303812]"""
"11,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""1.3"",""76"",""[[3 79.73048721536846] [1 85.3336777908172] [2 78.28543742699135] [0 79.34800102931483]]"",""[80.67440086562296 80.67440086562296 80.67440086562296 80.67440086562296]"",""[[3 103.64793974344221] [1 110.93497521372451] [2 101.7707441383467] [0 103.15265846514335]]"",""[104.87657939016418 104.8765793901642 104.8765793901642 104.87657939016418]"",""[[3 79.73048721536846] [1 85.3336777908172] [2 78.28543742699135] [0 79.34800102931483]]"",""[80.67440086562296 80.67440086562296 80.67440086562296 80.67440086562296]"",""[[3 2545.8675352100645] [1 2088.385596265056] [2 2176.0929605496112] [0 2124.0291006987795]]"",""[2233.5937981808775 2233.593798180878 2233.593798180878 2233.593798180878]"",""[[3 6639.608025043581] [1 7106.819801355106] [2 6539.160758231904] [0 6626.8271063257835]]"",""[6728.103922739094 6728.103922739094 6728.103922739094 6728.103922739094]"""
"11,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0.5"",""0.001"",""4"",""0.5"",""1.3"",""77"",""[[3 79.52694651478053] [0 79.13874522998225] [2 78.07860672040168] [1 85.11562154897405]]"",""[80.46498000353463 80.46498000353463 80.46498000353463 80.46498000353463]"",""[[3 103.38385687278333] [0 102.87980726155507] [2 101.50153772145634] [1 110.64982781888854]]"",""[104.60375741867082 104.60375741867082 104.60375741867082 104.60375741867082]"",""[[3 79.52694651478053] [0 79.13874522998225] [2 78.07860672040168] [1 85.11562154897405]]"",""[80.46498000353463 80.46498000353463 80.46498000353463 80.46498000353463]"",""[[3 2581.159412531688] [0 2159.567196624027] [2 2211.382705621699] [1 2123.6753143755086]]"",""[2268.9461572882306 2268.946157288231 2268.9461572882306 2268.946157288231]"",""[[3 6719.134971558361] [0 6705.965851555766] [2 6617.239364952306] [1 7191.93542290408]]"",""[6808.568902742628 6808.568902742628 6808.568902742628 6808.568902742629]"""
